year_from_url,headline,url
,"Asia Coffee: Indonesia picks up ahead of mini-harvest, Vietnam moves to May contract",https://www.ft.lk/Agriculture/Asia-Coffee-Indonesia-picks-up-ahead-of-mini-harvest-Vietnam-moves-to-May-contract/31-648139
,"Coffee plants in Vietnam unharmed from typhoon Bualoi, premiums fall in Indonesia",https://www.deccanherald.com/world/coffee-plants-in-vietnam-unharmed-from-typhoon-bualoi-premiums-fall-in-indonesia-3750411
2025,"Prices rise in Vietnam on global cues, high demand for Indonesian beans",https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3U608R:0-prices-rise-in-vietnam-on-global-cues-high-demand-for-indonesian-beans/
2025,"Vietnam prices flat on week, premiums fall in Indonesia",https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3T0091:0-vietnam-prices-flat-on-week-premiums-fall-in-indonesia/
2025,"Domestic coffee prices edge up in Vietnam, Indonesia flips to discount",https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3QV07I:0-domestic-coffee-prices-edge-up-in-vietnam-indonesia-flips-to-discount/
2025,"Vietnam rains continue to hit robusta harvest, Indonesia premiums ease",https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3XA087:0-vietnam-rains-continue-to-hit-robusta-harvest-indonesia-premiums-ease/
2025,"Vietnam market subdued on limited supplies, Indonesia flips to premiums",https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3X307M:0-vietnam-market-subdued-on-limited-supplies-indonesia-flips-to-premiums/
2025,"Trade remains quiet in Vietnam, premiums rise in Indonesia",https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3UR07T:0-trade-remains-quiet-in-vietnam-premiums-rise-in-indonesia/
2025,"Vietnam domestic prices edge up, Indonesian supplies tight",https://www.tradingview.com/news/reuters.com,2025:newsml_L4N3TL0OA:0-vietnam-domestic-prices-edge-up-indonesian-supplies-tight/
2025,"Tepid trade in Vietnam on low supplies, Indonesia premiums fall",https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3UK08N:0-tepid-trade-in-vietnam-on-low-supplies-indonesia-premiums-fall/
2025,"Vietnam coffee trading muted on low supplies, heavy rains in Indonesia",https://www.tradingview.com/news/reuters.com,2025:newsml_L1N3TZ0CQ:0-vietnam-coffee-trading-muted-on-low-supplies-heavy-rains-in-indonesia/
2026,"Vietnam coffee prices edge up, Indonesia harvest begins",https://www.tradingview.com/news/reuters.com,2026:newsml_L1N434070:0-vietnam-coffee-prices-edge-up-indonesia-harvest-begins/
2026,"Vietnam prices rise; Indonesia coffee harvest to peak in late July",https://www.tradingview.com/news/reuters.com,2026:newsml_L1N42Q0AI:0-vietnam-prices-rise-indonesia-coffee-harvest-to-peak-in-late-july/
2024,"Indonesia's Sumatra robusta coffee bean exports rise 13.4% Y/Y in July",https://www.tradingview.com/news/reuters.com,2024:newsml_L4N3KH0HP:0-indonesia-s-sumatra-robusta-coffee-bean-exports-rise-13-4-y-y-in-july/
,"Asia Coffee-Vietnam market tepid, discounts unchanged in Indonesia",https://www.nasdaq.com/articles/asia-coffee-vietnam-market-tepid-discounts-unchanged-in-indonesia
,"Asia Coffee-Trade lean amid steady supply in Vietnam; Indonesia tepid",https://www.nasdaq.com/articles/asia-coffee-trade-lean-amid-steady-supply-in-vietnam-indonesia-tepid
,"Asia Coffee-Supplies tighten in major Asian coffee markets",https://www.nasdaq.com/articles/asia-coffee-supplies-tighten-in-major-asian-coffee-markets
,"Asia Coffee-Domestic coffee prices rise on London cue, flat in Indonesia",https://www.nasdaq.com/articles/asia-coffee-domestic-coffee-prices-rise-on-london-cue-flat-in-indonesia
